species,decimalLatitude,decimalLongitude,geometry,index_right,latitude,longitude,temp,precip,nitrogen,dist_km
Bombus terrestris,51.441614,11.910369,POINT (11.910369 51.441614),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.042886374957557365
Bombus terrestris,51.425537,11.928377,POINT (11.928377 51.425537),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.03817581037777638
Bombus terrestris,51.425641,11.928687,POINT (11.928687 51.425641),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.03847602955087745
Bombus terrestris,51.426021,11.928585,POINT (11.928585 51.426021),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.03865481426678937
Bombus terrestris,51.425539,11.92954,POINT (11.92954 51.425539),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.03904935493705424
Bombus terrestris,51.457504,11.998427,POINT (11.998427 51.457504),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.11399379081774591
Bombus terrestris,51.489872,11.937331,POINT (11.937331 51.489872),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09731690472369099
Bombus terrestris,51.484288,11.881429,POINT (11.881429 51.484288),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.08630961119713218
Bombus terrestris,51.483807,11.88179,POINT (11.88179 51.483807),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.08576256379679904
Bombus terrestris,51.482961,11.882587,POINT (11.882587 51.482961),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.0847687447707042
Bombus terrestris,51.48286,11.882599,POINT (11.882599 51.48286),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.08466743412316567
Bombus terrestris,51.480894,11.82469,POINT (11.82469 51.480894),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.08457798375463968
Bombus terrestris,51.488368,11.928184,POINT (11.928184 51.488368),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09275365911919835
Bombus terrestris,51.339664,11.947064,POINT (11.947064 51.339664),1,51.3,11.9,4.547798075087366,1.3516606514452016,50.0,0.06154878546324084
Bombus terrestris,51.46563,11.965472,POINT (11.965472 51.46563),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09270318054953564
Bombus terrestris,51.389015,11.771976,POINT (11.771976 51.389015),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.030100079750724446
Bombus terrestris,51.468656,11.990539,POINT (11.990539 51.468656),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.11362639155143725
Bombus terrestris,51.471206,11.991267,POINT (11.991267 51.471206),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.11575819506626975
Bombus terrestris,51.480894,11.82469,POINT (11.82469 51.480894),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.08457798375463968
Bombus terrestris,51.489407,11.962612,POINT (11.962612 51.489407),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.10915069488097727
Bombus terrestris,51.476206,11.9824,POINT (11.9824 51.476206),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.11223686754360099
Bombus terrestris,51.491783,11.935128,POINT (11.935128 51.491783),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.0982756097564392
Bombus terrestris,51.495239,11.929828,POINT (11.929828 51.495239),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09980068489243898
Bombus terrestris,51.491792,11.935128,POINT (11.935128 51.491792),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09828401522119286
Bombus terrestris,51.4917,11.935464,POINT (11.935464 51.4917),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09831879421555423
Bombus terrestris,51.480894,11.82469,POINT (11.82469 51.480894),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.08457798375463968
Bombus terrestris,51.492212,11.982413,POINT (11.982413 51.492212),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.1236727759573645
Bombus terrestris,51.480894,11.82469,POINT (11.82469 51.480894),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.08457798375463968
Bombus terrestris,51.469155,11.989013,POINT (11.989013 51.469155),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.11271968858189864
Bombus terrestris,51.498568,11.950517,POINT (11.950517 51.498568),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.11075927912820653
Bombus terrestris,51.490339,11.944678,POINT (11.944678 51.490339),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.10078322581163976
Bombus terrestris,51.480894,11.82469,POINT (11.82469 51.480894),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.08457798375463968
Bombus terrestris,51.480894,11.82469,POINT (11.82469 51.480894),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.08457798375463968
Bombus terrestris,51.480894,11.82469,POINT (11.82469 51.480894),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.08457798375463968
Bombus terrestris,51.480894,11.82469,POINT (11.82469 51.480894),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.08457798375463968
Bombus terrestris,51.464184,11.967495,POINT (11.967495 51.464184),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09314054370144327
Bombus terrestris,51.464012,11.966786,POINT (11.966786 51.464012),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09250895059398215
Bombus terrestris,51.464314,11.96747,POINT (11.96747 51.464314),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09321207805858861
Bombus terrestris,51.464169,11.967452,POINT (11.967452 51.464169),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09309904867934946
Bombus terrestris,51.489458,11.962483,POINT (11.962483 51.489458),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.10911855503533817
Bombus terrestris,51.4952,11.930053,POINT (11.930053 51.4952),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09983097119130727
Bombus terrestris,51.480894,11.82469,POINT (11.82469 51.480894),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.08457798375463968
Bombus terrestris,51.485994,11.941544,POINT (11.941544 51.485994),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09550325634238818
Bombus terrestris,51.488326,11.961428,POINT (11.961428 51.488326),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.10758662305324161
Bombus terrestris,51.495181,11.930203,POINT (11.930203 51.495181),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09985811919919543
Bombus terrestris,51.336956,11.94957,POINT (11.94957 51.336956),1,51.3,11.9,4.547798075087366,1.3516606514452016,50.0,0.061829853921873255
Bombus terrestris,51.458656,11.948048,POINT (11.948048 51.458656),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.07582306139954959
Bombus terrestris,51.323719,11.956837,POINT (11.956837 51.323719),1,51.3,11.9,4.547798075087366,1.3516606514452016,50.0,0.061587624812132265
Bombus terrestris,51.472939,11.972373,POINT (11.972373 51.472939),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.10275188003146007
Bombus terrestris,51.340458,11.982215,POINT (11.982215 51.340458),1,51.3,11.9,4.547798075087366,1.3516606514452016,50.0,0.09163054070014011
Bombus terrestris,51.455227,11.946621,POINT (11.946621 51.455227),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.07227405599522028
Bombus terrestris,51.458321,11.948324,POINT (11.948324 51.458321),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.0757400027528376
Bombus terrestris,51.245438,11.953076,POINT (11.953076 51.245438),1,51.3,11.9,4.547798075087366,1.3516606514452016,50.0,0.07611881252357777
Bombus terrestris,51.482452,11.96733,POINT (11.96733 51.482452),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.10645027573473258
Bombus terrestris,51.347622,11.973731,POINT (11.973731 51.347622),1,51.3,11.9,4.547798075087366,1.3516606514452016,50.0,0.08777308952634885
Bombus terrestris,51.278027,11.941699,POINT (11.941699 51.278027),1,51.3,11.9,4.547798075087366,1.3516606514452016,50.0,0.04713405700764324
Bombus terrestris,51.493434,11.94053,POINT (11.94053 51.493434),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.10184592901044405
Bombus terrestris,51.476234,11.981248,POINT (11.981248 51.476234),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.11141301656449298
Bombus terrestris,51.425545,11.983049,POINT (11.983049 51.425545),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.08688891428715112
Bombus terrestris,51.236244,11.953059,POINT (11.953059 51.236244),1,51.3,11.9,4.547798075087366,1.3516606514452016,50.0,0.0829462778972008
Bombus terrestris,51.45319,11.957564,POINT (11.957564 51.45319),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.07837595419514838
Bombus terrestris,51.458736,11.948013,POINT (11.948013 51.458736),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.07586280949846441
