time,step,latitude,longitude,precip,temp,ssrd,number,surface,nitrogen,site_id
2018-12-01,0 days 16:00:00,51.3,11.8,0.004917383,6.0176697,2467836.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 16:00:00,51.3,11.9,0.0064074993,6.070404,2514348.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 17:00:00,51.4,11.8,0.009194016,5.93808,2451240.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 17:00:00,51.4,11.9,0.009790063,5.988861,2498592.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 17:00:00,51.3,11.8,0.0057667494,5.8716736,2467836.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 17:00:00,51.3,11.9,0.006943941,5.912689,2514348.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 18:00:00,51.4,11.8,0.010058284,5.9060364,2451240.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 18:00:00,51.4,11.9,0.01065433,5.96463,2498592.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 18:00:00,51.3,11.8,0.0066310167,5.820099,2467836.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 18:00:00,51.3,11.9,0.0078082085,5.8630676,2514348.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 19:00:00,51.4,11.8,0.010058284,5.964142,2451240.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 19:00:00,51.4,11.9,0.01065433,6.011017,2498592.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 19:00:00,51.3,11.8,0.0066310167,5.82547,2467836.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 19:00:00,51.3,11.9,0.0078082085,5.8684387,2514348.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 20:00:00,51.4,11.8,0.010058284,6.0034485,2451240.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 20:00:00,51.4,11.9,0.01065433,6.040558,2498592.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 20:00:00,51.3,11.8,0.0066310167,5.827667,2467836.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 20:00:00,51.3,11.9,0.0078082085,5.858917,2514348.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 21:00:00,51.4,11.8,0.010728836,5.7548523,2451240.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 21:00:00,51.4,11.9,0.010803342,5.764618,2498592.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 21:00:00,51.3,11.8,0.007495284,5.5712585,2467836.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 21:00:00,51.3,11.9,0.008374453,5.579071,2514348.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 22:00:00,51.4,11.8,0.017032027,5.674835,2451240.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 22:00:00,51.4,11.9,0.015377998,5.670929,2498592.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 22:00:00,51.3,11.8,0.014200807,5.4756165,2467836.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 22:00:00,51.3,11.9,0.01296401,5.47171,2514348.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,0 days 23:00:00,51.4,11.8,0.034451485,5.5722046,2451240.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,0 days 23:00:00,51.4,11.9,0.028431416,5.5546265,2498592.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,0 days 23:00:00,51.3,11.8,0.032782555,5.4003296,2467836.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,0 days 23:00:00,51.3,11.9,0.027000904,5.3827515,2514348.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-01,1 days 00:00:00,51.4,11.8,0.05443394,5.6773987,2451240.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-01,1 days 00:00:00,51.4,11.9,0.044196844,5.652008,2498592.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-01,1 days 00:00:00,51.3,11.8,0.05415082,5.5660706,2467836.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-01,1 days 00:00:00,51.3,11.9,0.043913722,5.542633,2514348.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-02,0 days 01:00:00,51.4,11.8,0.0008586794,5.772156,0.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-02,0 days 01:00:00,51.4,11.9,0.000718981,5.715515,0.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-02,0 days 01:00:00,51.3,11.8,0.0008586794,5.63739,0.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-02,0 days 01:00:00,51.3,11.9,0.0005569309,5.5827026,0.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-02,0 days 02:00:00,51.4,11.8,0.00085681677,6.2705994,0.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-02,0 days 02:00:00,51.4,11.9,0.00071525574,6.204193,0.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-02,0 days 02:00:00,51.3,11.8,0.00085681677,6.1358337,0.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-02,0 days 02:00:00,51.3,11.9,0.00055506825,6.0713806,0.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-02,0 days 03:00:00,51.4,11.8,0.00085681677,6.529022,0.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-02,0 days 03:00:00,51.4,11.9,0.00071525574,6.4860535,0.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-02,0 days 03:00:00,51.3,11.8,0.00085681677,6.3766785,0.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-02,0 days 03:00:00,51.3,11.9,0.00055879354,6.3337097,0.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-02,0 days 04:00:00,51.4,11.8,0.00085681677,6.6032715,0.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-02,0 days 04:00:00,51.4,11.9,0.00071525574,6.5895996,0.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-02,0 days 04:00:00,51.3,11.8,0.00085681677,6.4138184,0.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-02,0 days 04:00:00,51.3,11.9,0.00055879354,6.394287,0.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-02,0 days 05:00:00,51.4,11.8,0.00085681677,6.684326,0.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-02,0 days 05:00:00,51.4,11.9,0.00071525574,6.6901855,0.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-02,0 days 05:00:00,51.3,11.8,0.00085681677,6.559326,0.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-02,0 days 05:00:00,51.3,11.9,0.00055879354,6.5612793,0.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-02,0 days 06:00:00,51.4,11.8,0.0052526593,6.918915,0.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-02,0 days 06:00:00,51.4,11.9,0.0044479966,6.954071,0.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-02,0 days 06:00:00,51.3,11.8,0.007763505,6.8173523,0.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-02,0 days 06:00:00,51.3,11.9,0.0064000487,6.8505554,0.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-02,0 days 07:00:00,51.4,11.8,0.09242445,6.93396,0.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-02,0 days 07:00:00,51.4,11.9,0.08447468,6.9730225,0.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-02,0 days 07:00:00,51.3,11.8,0.11130422,6.8343506,0.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-02,0 days 07:00:00,51.3,11.9,0.10115653,6.873413,0.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-02,0 days 08:00:00,51.4,11.8,0.37834048,7.0835266,9992.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-02,0 days 08:00:00,51.4,11.9,0.36637485,7.1323547,9958.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-02,0 days 08:00:00,51.3,11.8,0.43859333,6.9878235,11624.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-02,0 days 08:00:00,51.3,11.9,0.41987002,7.0386047,11666.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-02,0 days 09:00:00,51.4,11.8,0.9149015,7.2359924,57706.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-02,0 days 09:00:00,51.4,11.9,0.870578,7.3004456,60048.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-02,0 days 09:00:00,51.3,11.8,0.9939447,6.9684143,62694.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-02,0 days 09:00:00,51.3,11.9,0.9387061,7.152008,65552.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-02,0 days 10:00:00,51.4,11.8,1.8268301,7.24704,130478.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-02,0 days 10:00:00,51.4,11.9,1.7571151,7.311493,137768.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-02,0 days 10:00:00,51.3,11.8,1.9259602,7.2079773,131160.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-02,0 days 10:00:00,51.3,11.9,1.840435,7.2704773,139094.0,0,0.0,50.0,lat51.3_lon11.9
2018-12-02,0 days 11:00:00,51.4,11.8,2.7005224,7.4410706,192056.0,0,0.0,50.0,lat51.4_lon11.8
2018-12-02,0 days 11:00:00,51.4,11.9,2.667874,7.5016174,199102.0,0,0.0,50.0,lat51.4_lon11.9
2018-12-02,0 days 11:00:00,51.3,11.8,2.8215647,7.4117737,193308.0,0,0.0,50.0,lat51.3_lon11.8
2018-12-02,0 days 11:00:00,51.3,11.9,2.7636142,7.4703674,200730.0,0,0.0,50.0,lat51.3_lon11.9
